Id|Name|Desc|ChrImage|BGImage|talk table|battle table
1|악마[벨리알]|분쟁을 일으키기 위해서는 이런저런 소문을 퍼뜨려, 타겟들의 이간질을 하는 것이 중요하죠.||||
2|악마[벨리알]|하지만, 아무에게나 행동해서는 안됩니다. 치안과 관련된 놈들이나 머리가 좀 돌아가는 인간들은 피하는 것이 정답이죠.||||
3|악마[벨리알]|붉은 색을 띄는 인간들을 피하고 푸른 색을 띄는 인간들에게 접촉해 소문을 퍼뜨리십시오.||||
4|악마[벨리알]|붉은 색을 띄는 인간들에게 접촉한다면 당신의 존재가 점점 알려지게 되어, 이 도시에서 에너지를 얻을 수 없게 될겁니다.||||
5|악마[벨리알]|그렇게 된다면, 제가 당신의 존재를 아는 자들은 빠르게 처리해드리겠습니다만, 귀찮으니 웬만하면 붉은 색을 띄는 인간은 접촉하지 마십시오.||||
6|악마[벨리알]|정해진 수의 푸른 색을 띄는 인간들과 접촉을 한다면 제한 시간 이후 소문이 서서히 퍼져 분쟁이 일어나게 될겁니다.||||true=7,false=9
7|악마[벨리알]|일을 잘 끝내신 것 같군요. 이제 기다리면 분쟁은 시작될것이고, 거기서 발생하는 감정들을 에너지로써 흡수하면 됩니다.||||
8|악마[벨리알]|에너지를 흡수하는 일은 이른바 본능에 가까우니, 묻지 않아도 알아서 하실 수 있을겁니다.|||164|
9|악마[벨리알]|분명히 붉은 색을 띄는 인간들은 피하라고 했는데, 그것도 피하지 못하다니, 참 한심하군요. 덕분에 제 일이 늘어났군요.||||
10|악마[벨리알]|이 이상 실망할 일이 없었으면 좋겠습니다.||||1
11|악마[벨리알]|분쟁을 일으키기 위해서는 이런저런 소문을 퍼뜨려, 타겟들의 이간질을 하는 것이 중요하죠.||||
12|악마[벨리알]|하지만, 아무에게나 행동해서는 안됩니다. 치안과 관련된 놈들이나 머리가 좀 돌아가는 인간들은 피하는 것이 정답이죠.||||
13|악마[벨리알]|붉은 색을 띄는 인간들을 피하고 푸른 색을 띄는 인간들에게 접촉해 소문을 퍼뜨리십시오.||||
14|악마[벨리알]|붉은 색을 띄는 인간들에게 접촉한다면 당신의 존재가 점점 알려지게 되어, 이 도시에서 에너지를 얻을 수 없게 될겁니다.||||
15|악마[벨리알]|그렇게 된다면, 제가 당신의 존재를 아는 자들은 빠르게 처리해드리겠습니다만, 귀찮으니 웬만하면 붉은 색을 띄는 인간은 접촉하지 마십시오.||||
16|악마[벨리알]|정해진 수의 푸른 색을 띄는 인간들과 접촉을 한다면 제한 시간 이후 소문이 서서히 퍼져 분쟁이 일어나게 될겁니다.||||true=17,false=19
17|악마[벨리알]|일을 잘 끝내신 것 같군요. 이제 기다리면 분쟁은 시작될것이고, 거기서 발생하는 감정들을 에너지로써 흡수하면 됩니다.||||
18|악마[벨리알]|에너지를 흡수하는 일은 이른바 본능에 가까우니, 묻지 않아도 알아서 하실 수 있을겁니다.|||164|
19|악마[벨리알]|분명히 붉은 색을 띄는 인간들은 피하라고 했는데, 그것도 피하지 못하다니, 참 한심하군요. 덕분에 제 일이 늘어났군요.||||
20|악마[벨리알]|이 이상 실망할 일이 없었으면 좋겠습니다.||||11
21|악마[벨리알]|분쟁을 일으키기 위해서는 이런저런 소문을 퍼뜨려, 타겟들의 이간질을 하는 것이 중요하죠.||||
22|악마[벨리알]|하지만, 아무에게나 행동해서는 안됩니다. 치안과 관련된 놈들이나 머리가 좀 돌아가는 놈들은 피하는 것이 정답이죠.||||
23|악마[벨리알]|붉은 색을 띄는 놈들을 피하고 푸른 색을 띄는 놈들에게 접촉해 소문을 퍼뜨리십시오.||||
24|악마[벨리알]|붉은 색을 띄는 놈들에게 접촉한다면 당신의 존재가 점점 알려지게 되어, 이 주둔지에서 에너지를 얻을 수 없게 될겁니다.||||
25|악마[벨리알]|그렇게 된다면, 제가 당신의 존재를 아는 자들은 빠르게 처리해드리겠습니다만, 귀찮으니 웬만하면 붉은 색을 띄는 놈은 접촉하지 마십시오.||||
26|악마[벨리알]|정해진 수의 푸른 색을 띄는 놈들과 접촉을 한다면 제한 시간 이후 소문이 서서히 퍼져 분쟁이 일어나게 될겁니다.||||true=27,false=29
27|악마[벨리알]|일을 잘 끝내신 것 같군요. 이제 기다리면 분쟁은 시작될것이고, 거기서 발생하는 감정들을 에너지로써 흡수하면 됩니다.||||
28|악마[벨리알]|에너지를 흡수하는 일은 이른바 본능에 가까우니, 묻지 않아도 알아서 하실 수 있을겁니다.|||164|
29|악마[벨리알]|분명히 붉은 색을 띄는 놈들은 피하라고 했는데, 그것도 피하지 못하다니, 참 한심하군요. 덕분에 제 일이 늘어났군요.||||
30|악마[벨리알]|이 이상 실망할 일이 없었으면 좋겠습니다.||||21
